asset_id
AAPL
MSFT
NVDA
AVGO
ADBE
CRM
LLY
JNJ
MRK
ABBV
TMO
ABT
AMZN
TSLA
HD
LOW
NKE
SBUX
CAT
UNP
UPS
HON
ETN
EMR
XOM
CVX
COP
EOG
SLB
LIN
APD
ECL
FCX
NEM
NUE
SHW
