asset_id
AAPL
MSFT
NVDA
AVGO
ASML
AMD
INTC
QCOM
TXN
AMAT
ADI
LRCX
MU
PANW
SNPS
CDNS
FTNT
HPQ
DELL
STV
ADBE
CRM
NOW
WDAY
TEAM
VRSN
JNJ
LLY
MRK
ABBV
TMO
ABT
DHR
GILD
ISRG
REGN
VRTX
MDT
SYK
BSX
AMZN
TSLA
NKE
HD
LOW
TJX
OR
SBUX
MELI
BABA
BKNG
EBAY
CAT
UNP
UPS
WM
ETN
EMR
CPRT
FAST
PH
CSX
NSC
XOM
CVX
COP
EOG
SLB
LIN
APD
ECL
FCX
NEM
NUE
SHW
CTVA
ALB
